world_size_width,world_size_height,dna_size,mutation_rate,nb_generations,runtime
128,128,128,1e-06,1000,2.349412
128,128,128,1e-06,1000,2.397659
128,128,128,1e-06,1000,2.432894
256,256,128,1e-06,1000,10.291757
256,256,128,1e-06,1000,10.19351
256,256,128,1e-06,1000,10.524009
512,512,128,1e-06,1000,47.518571
512,512,128,1e-06,1000,47.211215
512,512,128,1e-06,1000,47.465179
1024,1024,128,1e-06,1000,193.48046
1024,1024,128,1e-06,1000,192.087654
1024,1024,128,1e-06,1000,194.069535
128,128,128,1e-05,1000,2.62029
128,128,128,1e-05,1000,2.663706
128,128,128,1e-05,1000,2.631037
256,256,128,1e-05,1000,11.2869
256,256,128,1e-05,1000,11.160806
256,256,128,1e-05,1000,10.951673
512,512,128,1e-05,1000,50.965858
512,512,128,1e-05,1000,50.845672
512,512,128,1e-05,1000,50.877922
1024,1024,128,1e-05,1000,224.107699
1024,1024,128,1e-05,1000,222.666003
1024,1024,128,1e-05,1000,224.387845
128,128,128,0.0001,1000,3.435472
128,128,128,0.0001,1000,3.450396
128,128,128,0.0001,1000,3.41301
256,256,128,0.0001,1000,16.446863
256,256,128,0.0001,1000,16.355376
256,256,128,0.0001,1000,16.402468
512,512,128,0.0001,1000,79.837813
512,512,128,0.0001,1000,80.086411
512,512,128,0.0001,1000,79.850885
1024,1024,128,0.0001,1000,385.690929
1024,1024,128,0.0001,1000,385.21897
1024,1024,128,0.0001,1000,385.499936
128,128,256,1e-06,1000,2.66318
128,128,256,1e-06,1000,2.664567
128,128,256,1e-06,1000,2.683827
256,256,256,1e-06,1000,11.370546
256,256,256,1e-06,1000,11.370705
256,256,256,1e-06,1000,11.501913
512,512,256,1e-06,1000,51.478879
512,512,256,1e-06,1000,50.741375
512,512,256,1e-06,1000,50.758254
1024,1024,256,1e-06,1000,207.526989
1024,1024,256,1e-06,1000,208.084388
1024,1024,256,1e-06,1000,208.683075
128,128,256,1e-05,1000,2.925023
128,128,256,1e-05,1000,2.994824
128,128,256,1e-05,1000,2.948736
256,256,256,1e-05,1000,12.92337
256,256,256,1e-05,1000,12.886315
256,256,256,1e-05,1000,13.162136
512,512,256,1e-05,1000,62.744872
512,512,256,1e-05,1000,63.524344
512,512,256,1e-05,1000,62.634572
1024,1024,256,1e-05,1000,263.366051
1024,1024,256,1e-05,1000,262.747076
1024,1024,256,1e-05,1000,262.77921
128,128,256,0.0001,1000,4.617609
128,128,256,0.0001,1000,4.565492
128,128,256,0.0001,1000,4.637142
256,256,256,0.0001,1000,25.718143
256,256,256,0.0001,1000,24.978257
256,256,256,0.0001,1000,25.800118
512,512,256,0.0001,1000,126.605735
512,512,256,0.0001,1000,126.004453
512,512,256,0.0001,1000,125.970909
1024,1024,256,0.0001,1000,570.465006
1024,1024,256,0.0001,1000,574.303782
1024,1024,256,0.0001,1000,572.673035
128,128,512,1e-06,1000,3.152671
128,128,512,1e-06,1000,3.162672
128,128,512,1e-06,1000,3.180908
256,256,512,1e-06,1000,13.598346
256,256,512,1e-06,1000,13.309366
256,256,512,1e-06,1000,13.596458
512,512,512,1e-06,1000,60.083106
512,512,512,1e-06,1000,61.640382
512,512,512,1e-06,1000,60.170256
1024,1024,512,1e-06,1000,246.421473
1024,1024,512,1e-06,1000,245.407382
1024,1024,512,1e-06,1000,246.717069
128,128,512,1e-05,1000,3.6285
128,128,512,1e-05,1000,3.611378
128,128,512,1e-05,1000,3.622368
256,256,512,1e-05,1000,17.670845
256,256,512,1e-05,1000,17.078972
256,256,512,1e-05,1000,16.46729
512,512,512,1e-05,1000,81.568369
512,512,512,1e-05,1000,81.939443
512,512,512,1e-05,1000,81.19674
1024,1024,512,1e-05,1000,343.834813
1024,1024,512,1e-05,1000,344.734514
1024,1024,512,1e-05,1000,343.688916
128,128,512,0.0001,1000,7.480036
128,128,512,0.0001,1000,7.554158
128,128,512,0.0001,1000,7.545576
256,256,512,0.0001,1000,42.314356
256,256,512,0.0001,1000,41.248696
256,256,512,0.0001,1000,41.665128
512,512,512,0.0001,1000,217.495565
512,512,512,0.0001,1000,218.064891
512,512,512,0.0001,1000,217.487991
1024,1024,512,0.0001,1000,888.250463
1024,1024,512,0.0001,1000,888.769852
1024,1024,512,0.0001,1000,885.167303
128,128,1024,1e-06,1000,4.169274
128,128,1024,1e-06,1000,4.21368
128,128,1024,1e-06,1000,4.268283
256,256,1024,1e-06,1000,18.115591
256,256,1024,1e-06,1000,17.968096
256,256,1024,1e-06,1000,18.06543
512,512,1024,1e-06,1000,78.4069
512,512,1024,1e-06,1000,79.059959
512,512,1024,1e-06,1000,80.492276
1024,1024,1024,1e-06,1000,325.191103
1024,1024,1024,1e-06,1000,325.90381
1024,1024,1024,1e-06,1000,333.923496
128,128,1024,1e-05,1000,5.185423
128,128,1024,1e-05,1000,5.197901
128,128,1024,1e-05,1000,5.146079
256,256,1024,1e-05,1000,28.136682
256,256,1024,1e-05,1000,27.963897
256,256,1024,1e-05,1000,27.257803
512,512,1024,1e-05,1000,123.013752
512,512,1024,1e-05,1000,125.056318
512,512,1024,1e-05,1000,124.11467
1024,1024,1024,1e-05,1000,547.939632
1024,1024,1024,1e-05,1000,536.02829
1024,1024,1024,1e-05,1000,537.171482
128,128,1024,0.0001,1000,13.569302
128,128,1024,0.0001,1000,13.432806
128,128,1024,0.0001,1000,13.684393
256,256,1024,0.0001,1000,92.313187
256,256,1024,0.0001,1000,94.291553
256,256,1024,0.0001,1000,91.095645
512,512,1024,0.0001,1000,401.660884
512,512,1024,0.0001,1000,400.346893
512,512,1024,0.0001,1000,401.901729
1024,1024,1024,0.0001,1000,1742.720981
1024,1024,1024,0.0001,1000,1746.105614
1024,1024,1024,0.0001,1000,1746.402555
