Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
0,1,FirstEvaluation,10133656718337,10134165982154,509263817,-1
0,1,STEP,10134166123661,10134170020636,3896975,-1
1,1,STEP,10134170083564,10134173115339,3031775,-1
2,1,STEP,10134173175262,10134176405009,3229747,-1
3,1,STEP,10134176465564,10134179569203,3103639,-1
4,1,STEP,10134179632823,10134182630593,2997770,-1
5,1,STEP,10134182691608,10134185483210,2791602,-1
6,1,STEP,10134185545467,10134188471732,2926265,-1
7,1,STEP,10134188535212,10134191381447,2846235,-1
8,1,STEP,10134191442672,10134194301039,2858367,-1
9,1,STEP,10134194361153,10134196481138,2119985,-1
10,1,STEP,10134196538817,10134199292517,2753700,-1
11,1,STEP,10134199353603,10134202840435,3486832,-1
12,1,STEP,10134202903083,10134206092234,3189151,-1
13,1,STEP,10134206154792,10134208637110,2482318,-1
14,1,STEP,10134208700680,10134211800723,3100043,-1
15,1,STEP,10134211864102,10134214464774,2600672,-1
16,1,STEP,10134214527663,10134217802555,3274892,-1
17,1,STEP,10134217871595,10134220259245,2387650,-1
18,1,STEP,10134220321422,10134223247788,2926366,-1
19,1,STEP,10134223313893,10134226052354,2738461,-1
20,1,STEP,10134226114892,10134228663576,2548684,-1
21,1,STEP,10134228725433,10134231518397,2792964,-1
22,1,STEP,10134231578731,10134234555792,2977061,-1
23,1,STEP,10134234619963,10134237057387,2437424,-1
24,1,STEP,10134237121928,10134239465034,2343106,-1
25,1,STEP,10134239524967,10134242721733,3196766,-1
26,1,STEP,10134242786465,10134245554321,2767856,-1
27,1,STEP,10134245624363,10134248485175,2860812,-1
28,1,STEP,10134248545168,10134250922088,2376920,-1
29,1,STEP,10134250983083,10134253875405,2892322,-1
30,1,STEP,10134253951328,10134256800167,2848839,-1
31,1,STEP,10134256864819,10134259466343,2601524,-1
32,1,STEP,10134259534982,10134261533239,1998257,-1
33,1,STEP,10134261592550,10134264345860,2753310,-1
34,1,STEP,10134264405703,10134267121361,2715658,-1
35,1,STEP,10134267182456,10134269913914,2731458,-1
36,1,STEP,10134269977845,10134272811005,2833160,-1
37,1,STEP,10134272876638,10134275239031,2362393,-1
38,1,STEP,10134275300447,10134277689800,2389353,-1
39,1,STEP,10134277754131,10134280536926,2782795,-1
40,1,STEP,10134280599033,10134283627090,3028057,-1
41,1,STEP,10134283688035,10134286054025,2365990,-1
