Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
1,5.98769e-67,0.152483,250,0,0,0,0,0,0
2,5.98769e-67,0.152483,250,0,0,0,0,0,0
3,5.98769e-67,0.152483,250,0,0,0,0,0,0
4,5.98769e-67,0.152483,250,0,0,0,0,0,0
5,5.98769e-67,0.152483,250,0,0,0,0,0,0
6,5.98769e-67,0.152483,250,0,0,0,0,0,0
7,5.98769e-67,0.152483,250,0,0,0,0,0,0
8,5.98769e-67,0.152483,250,0,0,0,0,0,0
9,5.98769e-67,0.152483,250,0,0,0,0,0,0
10,5.98769e-67,0.152483,250,0,0,0,0,0,0
11,5.98769e-67,0.152483,250,0,0,0,0,0,0
12,5.98769e-67,0.152483,250,0,0,0,0,0,0
13,5.98769e-67,0.152483,250,0,0,0,0,0,0
14,5.98769e-67,0.152483,250,0,0,0,0,0,0
15,5.98769e-67,0.152483,250,0,0,0,0,0,0
16,5.98769e-67,0.152483,250,0,0,0,0,0,0
17,5.98769e-67,0.152483,250,0,0,0,0,0,0
18,5.98769e-67,0.152483,250,0,0,0,0,0,0
19,5.98769e-67,0.152483,250,0,0,0,0,0,0
20,5.98769e-67,0.152483,250,0,0,0,0,0,0
21,5.98769e-67,0.152483,250,0,0,0,0,0,0
22,5.98769e-67,0.152483,250,0,0,0,0,0,0
23,5.98769e-67,0.152483,250,0,0,0,0,0,0
24,5.98769e-67,0.152483,250,0,0,0,0,0,0
25,5.98769e-67,0.152483,250,0,0,0,0,0,0
26,5.98769e-67,0.152483,250,0,0,0,0,0,0
27,5.98769e-67,0.152483,250,0,0,0,0,0,0
28,5.98769e-67,0.152483,250,0,0,0,0,0,0
29,5.98769e-67,0.152483,250,0,0,0,0,0,0
30,5.98769e-67,0.152483,250,0,0,0,0,0,0
31,5.98769e-67,0.152483,250,0,0,0,0,0,0
32,5.98769e-67,0.152483,250,0,0,0,0,0,0
33,5.98769e-67,0.152483,250,0,0,0,0,0,0
34,5.98769e-67,0.152483,250,0,0,0,0,0,0
35,5.98769e-67,0.152483,250,0,0,0,0,0,0
36,5.98769e-67,0.152483,250,0,0,0,0,0,0
37,5.98769e-67,0.152483,250,0,0,0,0,0,0
